output_id,transport,report_id,side,physical_target,payload_offsets,raw_offsets_with_report_id,encoding,off_value,dim_value,on_value,observed_transition,notes,palette_reference
LED_CUE_PFL_D,USB_CONTROL_OUT,0xF4,D,CUE_PFL,2,,CHANNEL_MASK,0x00,,0x08,,No D combination is documented; independent transmission not established Matrix index is zero-based in payload; do not interpret as report-inclusive byte offset.,
LED_DIRECT_THRU_LIVE_INPUT_C,HID_FEATURE_REPORT,0xF4,C,DIRECT_THRU_LIVE_INPUT,NOT_APPLICABLE,2 (SS in F4 24 SS),CHANNEL_MASK_OR,0x00,NOT_APPLICABLE,0x04,,Feature Report. SS is the OR combination of channel masks; complete native behavior is inconclusive.,
LED_DIRECT_THRU_LIVE_INPUT_A,HID_FEATURE_REPORT,0xF4,A,DIRECT_THRU_LIVE_INPUT,NOT_APPLICABLE,2 (SS in F4 24 SS),CHANNEL_MASK_OR,0x00,NOT_APPLICABLE,0x01,,Feature Report. SS is the OR combination of channel masks; complete native behavior is inconclusive.,
LED_DIRECT_THRU_LIVE_INPUT_B,HID_FEATURE_REPORT,0xF4,B,DIRECT_THRU_LIVE_INPUT,NOT_APPLICABLE,2 (SS in F4 24 SS),CHANNEL_MASK_OR,0x00,NOT_APPLICABLE,0x02,,Feature Report. SS is the OR combination of channel masks; complete native behavior is inconclusive.,
LED_DIRECT_THRU_LIVE_INPUT_D,HID_FEATURE_REPORT,0xF4,D,DIRECT_THRU_LIVE_INPUT,NOT_APPLICABLE,2 (SS in F4 24 SS),CHANNEL_MASK_OR,0x00,NOT_APPLICABLE,0x08,,Feature Report. SS is the OR combination of channel masks; complete native behavior is inconclusive.,
HID_OUT_80_24,HID_OUTPUT_REPORT,0x80,LEFT,FX_SELECT_CAPTURED_PAIR,24,25,BYTE_INTENSITY_U8_OBSERVED,,,0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_32,HID_OUTPUT_REPORT,0x80,LEFT,DISPLAY_4_OR_8_LEFT,32,33,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,Four fields change together; D4 and D8 are not individually attributed. The HID field changes; individual light response is not independently established.,
HID_OUT_80_36,HID_OUTPUT_REPORT,0x80,LEFT,DISPLAY_4_OR_8_LEFT,36,37,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,Four fields change together; D4 and D8 are not individually attributed. The HID field changes; individual light response is not independently established.,
HID_OUT_80_37,HID_OUTPUT_REPORT,0x80,LEFT,BACK_LEFT,37,38,BYTE_INTENSITY_U8_OBSERVED,,,0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_38,HID_OUTPUT_REPORT,0x80,LEFT,CAPTURE_LEFT,38,39,BYTE_INTENSITY_U8_OBSERVED,,,0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_39,HID_OUTPUT_REPORT,0x80,LEFT,EDIT_LEFT,39,40,BYTE_INTENSITY_U8_OBSERVED,,,0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_44,HID_OUTPUT_REPORT,0x80,LEFT,DECK_MODE_MULTILED_GROUP_LEFT,44,45,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
HID_OUT_80_45,HID_OUTPUT_REPORT,0x80,LEFT,HOTCUE_LEFT,45,46,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00|0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_46,HID_OUTPUT_REPORT,0x80,LEFT,DECK_MODE_MULTILED_GROUP_LEFT,46,47,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
FREEZE_WHITE_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,FREEZE white companion,48,49,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
HID_OUT_80_50,HID_OUTPUT_REPORT,0x80,LEFT,DECK_MODE_MULTILED_GROUP_LEFT,50,51,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
DECK_WHITE_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,DECK white indicator,53,54,INTENSITY_U8,,,0x00>0x7F|0x7F>0x00,0x7F -> 0x00 or 0x00 -> 0x7F during documented DECK state update,Individual LEFT DECK indicator address. Observed transition is scoped to the documented state update; complete native state semantics are not established.,
DECK_BLUE_LEFT,HID_OUTPUT_REPORT,0x80,LEFT,DECK blue indicator,54,55,INTENSITY_U8,,,0x00>0x7F|0x7F>0x00,0x7F -> 0x00 or 0x00 -> 0x7F during documented DECK state update,Individual LEFT DECK indicator address. Observed transition is scoped to the documented state update; complete native state semantics are not established.,
HID_OUT_80_55,HID_OUTPUT_REPORT,0x80,LEFT,SHIFT_LEFT,55,56,BYTE_INTENSITY_U8_OBSERVED,,,0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_60,HID_OUTPUT_REPORT,0x80,LEFT,DECK_MODE_MULTILED_GROUP_LEFT,60,61,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
HID_OUT_80_61,HID_OUTPUT_REPORT,0x80,LEFT,DECK_MODE_MULTILED_GROUP_LEFT,61,62,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
HID_OUT_80_62,HID_OUTPUT_REPORT,0x80,LEFT,DECK_MODE_MULTILED_GROUP_LEFT,62,63,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
HID_OUT_80_63,HID_OUTPUT_REPORT,0x80,LEFT,DECK_MODE_MULTILED_GROUP_LEFT,63,64,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x14|0x14>0x00,,Multiple LEDs change on the same mode event; individual attribution is unavailable. The HID field changes; individual light response is not independently established.,
HID_OUT_80_68,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,68,69,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_69,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,69,70,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_70,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,70,71,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_71,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,71,72,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_72,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,72,73,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_73,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,73,74,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_74,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,74,75,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_75,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,75,76,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_76,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,76,77,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_77,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,77,78,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_78,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,78,79,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_79,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,79,80,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_80,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,80,81,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_81,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,81,82,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_82,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,82,83,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_83,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,83,84,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_84,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,84,85,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_85,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,85,86,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_86,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,86,87,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_87,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,87,88,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_88,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,88,89,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_89,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,89,90,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_90,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,90,91,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_91,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,91,92,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_80_92,HID_OUTPUT_REPORT,0x80,LEFT,TOUCH_STRIP_LEFT_SEGMENT_BANK,92,93,BYTE_INTENSITY_U8_OBSERVED,,,0x00>0x7F|0x7F>0x00,,The HID field changes; individual light response is not independently established.,
HID_OUT_81_24,HID_OUTPUT_REPORT,0x81,RIGHT,FX_SELECT_CAPTURED_PAIR,24,25,BYTE_INTENSITY_U8_OBSERVED,,,0x14>0x7F|0x7F>0x14,,The HID field changes; individual light response is not independently established.,
