platform,subsystem,status,evidence,limitation,evidence_ref
Android,Coexistence,PARTIAL,IF5/IF6 startup before playback; bindings coexisted,No simultaneous continuous HID/display/audio/MIDI in a long session,C01;C02;P01
Android,Service independence,OBSERVED_DIAGNOSTIC_SCOPE,Startup and HID without NIHardwareService/Traktor; audio without NI driver,Does not imply stack parity or complete support,I03;A03;N01
Android,Physical validation,PARTIAL_BY_SUBSYSTEM,"Startup with live input, eight semantic bindings, 40 display frames and four audio outputs","Separate diagnostic trials; eight is the scope of one trial, not total Android coverage; no integrated continuous session",I03;H05;C01;A03;A04;P01
Linux,Enumeration,NOT_VALIDATED_IN_THIS_SET,No current result for this subsystem,Historical result does not establish current firmware or revision compatibility,P01
macOS,Enumeration,NOT_FOUND,No operational evidence located,Updater package does not constitute support or a test,P01
Linux,Audio playback,NOT_VALIDATED_IN_THIS_SET,No current result for this subsystem,Historical result does not establish current firmware or revision compatibility,P01
macOS,Audio playback,NOT_FOUND,No operational evidence located,Updater package does not constitute support or a test,P01
Linux,Audio capture,NOT_VALIDATED_IN_THIS_SET,No current result for this subsystem,Historical result does not establish current firmware or revision compatibility,P01
macOS,Audio capture,NOT_FOUND,No operational evidence located,Updater package does not constitute support or a test,P01
Linux,HID IN,PARTIAL_HISTORICAL,Historical HID reference and MIDI preset; no current native proof,Historical result does not establish current firmware or revision compatibility,P01
macOS,HID IN,NOT_FOUND,No operational evidence located,Updater package does not constitute support or a test,P01
Linux,HID OUT,NOT_VALIDATED_IN_THIS_SET,No current result for this subsystem,Historical result does not establish current firmware or revision compatibility,P01
macOS,HID OUT,NOT_FOUND,No operational evidence located,Updater package does not constitute support or a test,P01
Linux,F4,NOT_VALIDATED_IN_THIS_SET,No current result for this subsystem,Historical result does not establish current firmware or revision compatibility,P01
macOS,F4,NOT_FOUND,No operational evidence located,Updater package does not constitute support or a test,P01
Linux,F8,NOT_VALIDATED_IN_THIS_SET,No current result for this subsystem,Historical result does not establish current firmware or revision compatibility,P01
macOS,F8,NOT_FOUND,No operational evidence located,Updater package does not constitute support or a test,P01
Linux,Display/BULK,NOT_VALIDATED_IN_THIS_SET,No current result for this subsystem,Historical result does not establish current firmware or revision compatibility,P01
macOS,Display/BULK,NOT_FOUND,No operational evidence located,Updater package does not constitute support or a test,P01
Linux,Coexistence,NOT_VALIDATED_IN_THIS_SET,No current result for this subsystem,Historical result does not establish current firmware or revision compatibility,P01
macOS,Coexistence,NOT_FOUND,No operational evidence located,Updater package does not constitute support or a test,P01
Linux,Service independence,NOT_APPLICABLE_TO_WINDOWS_SERVICE,No current result for this subsystem,Historical result does not establish current firmware or revision compatibility,P01
macOS,Service independence,NOT_FOUND,No operational evidence located,Updater package does not constitute support or a test,P01
Linux,Physical validation,NOT_VALIDATED_IN_THIS_SET,No current result for this subsystem,Historical result does not establish current firmware or revision compatibility,P01
macOS,Physical validation,NOT_FOUND,No operational evidence located,Updater package does not constitute support or a test,P01
