control_or_mapping,mapping_function,transport,report_id_or_request_code,offset_without_report_id,offset_with_report_id,field_encoding_or_mask,activation_value,deactivation_value,dim_value,logical_state,platform,evidence_status,palette_reference
Deck B - Shift:BtnPlayButtonRight:button,v8 OUT: B Play,HID_OUTPUT_REPORT,0x81,59,60,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,play_indicator,Windows,Physical light response recorded in source evidence; individual test scope is not reproduced here.,
Deck B - Shift:BtnCueButtonRight:button,v8 OUT: B Cue,HID_OUTPUT_REPORT,0x81,58,59,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,cue_default,Windows,Physical light response recorded in source evidence; individual test scope is not reproduced here.,
Deck B - Shift:BtnFluxButtonRight:button,v8 OUT: B FLUX state,HID_OUTPUT_REPORT,0x81,52,53,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,slip_enabled,Windows,Physical light response recorded in source evidence; individual test scope is not reproduced here.,
GLOBAL:BtnFxassLBMixer:button,v8 OUT: B FX Assign Unit 1,HID_OUTPUT_REPORT,0x82,50,51,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
GLOBAL:BtnFxassRBMixer:button,v8 OUT: B FX Assign Unit 2,HID_OUTPUT_REPORT,0x82,51,52,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck B - Basic:BtnOnButton1Right:button,v8 OUT: B Slot 1 Filter On,HID_OUTPUT_REPORT,0x81,40,41,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck B - Basic:BtnOnButton2Right:button,v8 OUT: B Slot 2 Filter On,HID_OUTPUT_REPORT,0x81,41,42,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck B - Basic:BtnOnButton3Right:button,v8 OUT: B Slot 3 Filter On,HID_OUTPUT_REPORT,0x81,42,43,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck B - Basic:BtnOnButton4Right:button,v8 OUT: B Slot 4 Filter On,HID_OUTPUT_REPORT,0x81,43,44,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
Deck C - Basic:BtnPlayButtonLeft:button,v8 OUT: C Play,HID_OUTPUT_REPORT,0x80,59,60,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,play_indicator,Windows,Physical light response not reported.,
Deck C - Basic:BtnCueButtonLeft:button,v8 OUT: C Cue,HID_OUTPUT_REPORT,0x80,58,59,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,cue_default,Windows,Physical light response not reported.,
Deck C - Basic:BtnFluxButtonLeft:button,v8 OUT: C FLUX state,HID_OUTPUT_REPORT,0x80,52,53,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,slip_enabled,Windows,Physical light response not reported.,
Deck C - Shift:BtnPlayButtonLeft:button,v8 OUT: C Play,HID_OUTPUT_REPORT,0x80,59,60,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,play_indicator,Windows,Physical light response not reported.,
Deck C - Shift:BtnCueButtonLeft:button,v8 OUT: C Cue,HID_OUTPUT_REPORT,0x80,58,59,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,cue_default,Windows,Physical light response not reported.,
Deck C - Shift:BtnFluxButtonLeft:button,v8 OUT: C FLUX state,HID_OUTPUT_REPORT,0x80,52,53,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,slip_enabled,Windows,Physical light response not reported.,
Deck D - Basic:BtnPlayButtonRight:button,v8 OUT: D Play,HID_OUTPUT_REPORT,0x81,59,60,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,play_indicator,Windows,Physical light response not reported.,
Deck D - Basic:BtnCueButtonRight:button,v8 OUT: D Cue,HID_OUTPUT_REPORT,0x81,58,59,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,cue_default,Windows,Physical light response not reported.,
Deck D - Basic:BtnFluxButtonRight:button,v8 OUT: D FLUX state,HID_OUTPUT_REPORT,0x81,52,53,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,slip_enabled,Windows,Physical light response not reported.,
Deck D - Shift:BtnPlayButtonRight:button,v8 OUT: D Play,HID_OUTPUT_REPORT,0x81,59,60,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,play_indicator,Windows,Physical light response not reported.,
Deck D - Shift:BtnCueButtonRight:button,v8 OUT: D Cue,HID_OUTPUT_REPORT,0x81,58,59,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,cue_default,Windows,Physical light response not reported.,
Deck D - Shift:BtnFluxButtonRight:button,v8 OUT: D FLUX state,HID_OUTPUT_REPORT,0x81,52,53,BYTE_INTENSITY_8_BITS,0x7F,0x00,0x14,slip_enabled,Windows,Physical light response not reported.,
GLOBAL:BtnFx1ButtonLeft:button,v8 OUT: FX Unit 1 Unit On,HID_OUTPUT_REPORT,0x80,25,26,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
GLOBAL:BtnFx2ButtonLeft:button,v8 OUT: FX Unit 1 Button 1,HID_OUTPUT_REPORT,0x80,26,27,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
GLOBAL:BtnFx3ButtonLeft:button,v8 OUT: FX Unit 1 Button 2,HID_OUTPUT_REPORT,0x80,27,28,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
GLOBAL:BtnFx4ButtonLeft:button,v8 OUT: FX Unit 1 Button 3,HID_OUTPUT_REPORT,0x80,28,29,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
GLOBAL:BtnFx1ButtonRight:button,v8 OUT: FX Unit 2 Unit On,HID_OUTPUT_REPORT,0x81,25,26,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
GLOBAL:BtnFx2ButtonRight:button,v8 OUT: FX Unit 2 Button 1,HID_OUTPUT_REPORT,0x81,26,27,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
GLOBAL:BtnFx3ButtonRight:button,v8 OUT: FX Unit 2 Button 2,HID_OUTPUT_REPORT,0x81,27,28,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
GLOBAL:BtnFx4ButtonRight:button,v8 OUT: FX Unit 2 Button 3,HID_OUTPUT_REPORT,0x81,28,29,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
GLOBAL:BtnSnapMixer:button,v8 OUT: Snap On,HID_OUTPUT_REPORT,0x82,48,49,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
GLOBAL:BtnQuantizeMixer:button,v8 OUT: Quantize On,HID_OUTPUT_REPORT,0x82,49,50,BYTE_INTENSITY_8_BITS,0x7F,0x14,0x14,,Windows,Physical light response not reported.,
FLUX,FLUX LEFT,HID_OUTPUT_REPORT,0x80,52,53,,0x7F,0x00,0x14,FLUX,Windows/Mixxx,Physical pass stated in source evidence; individual test scope is not reproduced here.,
CUE,CUE LEFT,HID_OUTPUT_REPORT,0x80,58,59,,0x7F,0x00,0x14,CUE,Windows/Mixxx,Physical pass stated in source evidence; individual test scope is not reproduced here.,
PLAY,PLAY LEFT,HID_OUTPUT_REPORT,0x80,59,60,,0x7F,0x00,0x14,PLAY,Windows/Mixxx,Physical pass stated in source evidence; individual test scope is not reproduced here.,
SYNC,SYNC LEFT,HID_OUTPUT_REPORT,0x80,57,58,,0x7F,0x14,0x14,SYNC,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
LOOP_BUTTON,LOOP BUTTON LEFT,HID_OUTPUT_REPORT,0x80,47,48,,0x7F,0x14,0x14,LOOP_BUTTON,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
LOOP_RING,LOOP RING LEFT,HID_OUTPUT_REPORT,0x80,64;65;66;67,65;66;67;68,,0x7F,0x14,0x14,LOOP_RING,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
FREEZE,FREEZE LEFT,HID_OUTPUT_REPORT,0x80,49,50,,0x7F,0x14,0x14,FREEZE,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
REMIX,REMIX LEFT,HID_OUTPUT_REPORT,0x80,51,52,,0x7F,0x14,0x14,REMIX,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
SLOT_FILTER1,SLOT FILTER1 LEFT,HID_OUTPUT_REPORT,0x80,40,41,,0x7F,0x14,0x14,NO_ACTIVE_059J_BINDING,Windows/Mixxx,Logical assignment only; physical light response is not established.,
SLOT_FILTER2,SLOT FILTER2 LEFT,HID_OUTPUT_REPORT,0x80,41,42,,0x7F,0x14,0x14,NO_ACTIVE_059J_BINDING,Windows/Mixxx,Logical assignment only; physical light response is not established.,
SLOT_FILTER3,SLOT FILTER3 LEFT,HID_OUTPUT_REPORT,0x80,42,43,,0x7F,0x14,0x14,NO_ACTIVE_059J_BINDING,Windows/Mixxx,Logical assignment only; physical light response is not established.,
SLOT_FILTER4,SLOT FILTER4 LEFT,HID_OUTPUT_REPORT,0x80,43,44,,0x7F,0x14,0x14,NO_ACTIVE_059J_BINDING,Windows/Mixxx,Logical assignment only; physical light response is not established.,
FX_UNIT1_ON,FX UNIT1 ON,HID_OUTPUT_REPORT,0x80,25,26,,0x7F,0x14,0x14,"[EffectRack1_EffectUnit1],enabled",Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
FX_UNIT1_SLOT1,FX UNIT1 BTN1,HID_OUTPUT_REPORT,0x80,26,27,,0x7F,0x14,0x14,"EffectUnit1_Effect1,enabled",Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
FX_UNIT1_SLOT2,FX UNIT1 BTN2,HID_OUTPUT_REPORT,0x80,27,28,,0x7F,0x14,0x14,"EffectUnit1_Effect2,enabled",Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
FX_UNIT1_SLOT3,FX UNIT1 BTN3,HID_OUTPUT_REPORT,0x80,28,29,,0x7F,0x14,0x14,"EffectUnit1_Effect3,enabled",Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
PAD_1,HOTCUE 1 LEFT,HID_OUTPUT_REPORT,0x80,0;1;2,1;2;3,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_1_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
PAD_2,HOTCUE 2 LEFT,HID_OUTPUT_REPORT,0x80,3;4;5,4;5;6,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_2_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
PAD_3,HOTCUE 3 LEFT,HID_OUTPUT_REPORT,0x80,6;7;8,7;8;9,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_3_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
PAD_4,HOTCUE 4 LEFT,HID_OUTPUT_REPORT,0x80,9;10;11,10;11;12,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_4_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
PAD_5,HOTCUE 5 LEFT,HID_OUTPUT_REPORT,0x80,12;13;14,13;14;15,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_5_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
PAD_6,HOTCUE 6 LEFT,HID_OUTPUT_REPORT,0x80,15;16;17,16;17;18,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_6_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
PAD_7,HOTCUE 7 LEFT,HID_OUTPUT_REPORT,0x80,18;19;20,19;20;21,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_7_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
PAD_8,HOTCUE 8 LEFT,HID_OUTPUT_REPORT,0x80,21;22;23,22;23;24,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_8_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
FLUX,FLUX RIGHT,HID_OUTPUT_REPORT,0x81,52,53,,0x7F,0x00,0x14,FLUX,Windows/Mixxx,Physical pass stated in source evidence; individual test scope is not reproduced here.,
CUE,CUE RIGHT,HID_OUTPUT_REPORT,0x81,58,59,,0x7F,0x00,0x14,CUE,Windows/Mixxx,Physical pass stated in source evidence; individual test scope is not reproduced here.,
PLAY,PLAY RIGHT,HID_OUTPUT_REPORT,0x81,59,60,,0x7F,0x00,0x14,PLAY,Windows/Mixxx,Physical pass stated in source evidence; individual test scope is not reproduced here.,
SYNC,SYNC RIGHT,HID_OUTPUT_REPORT,0x81,57,58,,0x7F,0x14,0x14,SYNC,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
LOOP_BUTTON,LOOP BUTTON RIGHT,HID_OUTPUT_REPORT,0x81,47,48,,0x7F,0x14,0x14,LOOP_BUTTON,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
LOOP_RING,LOOP RING RIGHT,HID_OUTPUT_REPORT,0x81,64;65;66;67,65;66;67;68,,0x7F,0x14,0x14,LOOP_RING,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
FREEZE,FREEZE RIGHT,HID_OUTPUT_REPORT,0x81,49,50,,0x7F,0x14,0x14,FREEZE,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
REMIX,REMIX RIGHT,HID_OUTPUT_REPORT,0x81,51,52,,0x7F,0x14,0x14,REMIX,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
SLOT_FILTER1,SLOT FILTER1 RIGHT,HID_OUTPUT_REPORT,0x81,40,41,,0x7F,0x14,0x14,NO_ACTIVE_059J_BINDING,Windows/Mixxx,Logical assignment only; physical light response is not established.,
SLOT_FILTER2,SLOT FILTER2 RIGHT,HID_OUTPUT_REPORT,0x81,41,42,,0x7F,0x14,0x14,NO_ACTIVE_059J_BINDING,Windows/Mixxx,Logical assignment only; physical light response is not established.,
SLOT_FILTER3,SLOT FILTER3 RIGHT,HID_OUTPUT_REPORT,0x81,42,43,,0x7F,0x14,0x14,NO_ACTIVE_059J_BINDING,Windows/Mixxx,Logical assignment only; physical light response is not established.,
SLOT_FILTER4,SLOT FILTER4 RIGHT,HID_OUTPUT_REPORT,0x81,43,44,,0x7F,0x14,0x14,NO_ACTIVE_059J_BINDING,Windows/Mixxx,Logical assignment only; physical light response is not established.,
FX_UNIT2_ON,FX UNIT2 ON,HID_OUTPUT_REPORT,0x81,25,26,,0x7F,0x14,0x14,"[EffectRack1_EffectUnit2],enabled",Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
FX_UNIT2_SLOT1,FX UNIT2 BTN1,HID_OUTPUT_REPORT,0x81,26,27,,0x7F,0x14,0x14,"EffectUnit2_Effect1,enabled",Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
FX_UNIT2_SLOT2,FX UNIT2 BTN2,HID_OUTPUT_REPORT,0x81,27,28,,0x7F,0x14,0x14,"EffectUnit2_Effect2,enabled",Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
FX_UNIT2_SLOT3,FX UNIT2 BTN3,HID_OUTPUT_REPORT,0x81,28,29,,0x7F,0x14,0x14,"EffectUnit2_Effect3,enabled",Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
PAD_1,HOTCUE 1 RIGHT,HID_OUTPUT_REPORT,0x81,0;1;2,1;2;3,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_1_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
PAD_2,HOTCUE 2 RIGHT,HID_OUTPUT_REPORT,0x81,3;4;5,4;5;6,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_2_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
PAD_3,HOTCUE 3 RIGHT,HID_OUTPUT_REPORT,0x81,6;7;8,7;8;9,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_3_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
PAD_4,HOTCUE 4 RIGHT,HID_OUTPUT_REPORT,0x81,9;10;11,10;11;12,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_4_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
PAD_5,HOTCUE 5 RIGHT,HID_OUTPUT_REPORT,0x81,12;13;14,13;14;15,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_5_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
PAD_6,HOTCUE 6 RIGHT,HID_OUTPUT_REPORT,0x81,15;16;17,16;17;18,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_6_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
PAD_7,HOTCUE 7 RIGHT,HID_OUTPUT_REPORT,0x81,18;19;20,19;20;21,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_7_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
PAD_8,HOTCUE 8 RIGHT,HID_OUTPUT_REPORT,0x81,21;22;23,22;23;24,THREE_TRANSMITTED_BYTES_ORDER_UNRESOLVED,PAD_COLOR_PALETTE,0x08 0x08 0x08,NOT_APPLICABLE,hotcue_8_status/color,Windows/Mixxx,Source-backed initialization statement; this is not a physical LED test.,PAD_COLOR_PALETTE.csv
FX_ASSIGN1_A,FX ASSIGN1 A,HID_OUTPUT_REPORT,0x82,46,47,,0x7F,0x14,0x14,EffectUnit1 group_Channel1_enable,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
FX_ASSIGN2_A,FX ASSIGN2 A,HID_OUTPUT_REPORT,0x82,47,48,,0x7F,0x14,0x14,EffectUnit2 group_Channel1_enable,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
SNAP,SNAP,HID_OUTPUT_REPORT,0x82,48,49,,0x7F,0x14,0x14,NO_APPROVED_POLICY,Windows/Mixxx,Logical assignment only; physical light response is not established.,
QUANTIZE,QUANTIZE,HID_OUTPUT_REPORT,0x82,49,50,,0x7F,0x14,0x14,focused Channel quantize,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
FX_ASSIGN1_B,FX ASSIGN1 B,HID_OUTPUT_REPORT,0x82,50,51,,0x7F,0x14,0x14,EffectUnit1 group_Channel2_enable,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
FX_ASSIGN2_B,FX ASSIGN2 B,HID_OUTPUT_REPORT,0x82,51,52,,0x7F,0x14,0x14,EffectUnit2 group_Channel2_enable,Windows/Mixxx,Offline implementation reported; this is not a physical test result.,
